iter	RMSE
0	0.7400931664
1	0.7084922973
2	0.680483159
3	0.6562297201
4	0.6274231044
5	0.5996317851
6	0.5801725524
7	0.564102092
8	0.544575539
9	0.527908606
10	0.5098919867
11	0.4983129287
12	0.4819075766
13	0.4685822134
14	0.4541299644
15	0.4405633072
16	0.4265065251
17	0.4082913747
18	0.3950636076
19	0.3850794892
20	0.3770372108
21	0.3610731092
22	0.3520638653
23	0.3421722545
24	0.3350494903
25	0.3258257828
26	0.3178288242
27	0.3075584777
28	0.3004134517
29	0.2919926478
30	0.2811423453
31	0.2722082548
32	0.2619654685
33	0.2565181503
34	0.2501735388
35	0.2440291975
36	0.2383022907
37	0.2348314867
38	0.2274633816
39	0.2216472775
40	0.2151978353
41	0.2122868074
42	0.2073678982
43	0.2038424849
44	0.1989701565
45	0.194673901
46	0.1904948727
47	0.1854983286
48	0.1804646921
49	0.1770963915
50	0.1723662736
51	0.1685853914
52	0.1644594605
53	0.1602705853
54	0.1568937282
55	0.1540015702
56	0.1509337152
57	0.1473955523
58	0.1439870049
59	0.1416287115
60	0.1388041418
61	0.1351128254
62	0.1321182085
63	0.1293451248
64	0.126976815
65	0.1248444459
66	0.1214403063
67	0.1184491672
68	0.1156834334
69	0.1139907886
70	0.1112334941
71	0.1086734924
72	0.105465716
73	0.1032014935
74	0.1004831368
75	0.09844419906
76	0.09645864418
77	0.09536371556
78	0.09387177225
79	0.09139903647
80	0.08997785153
81	0.08808613695
82	0.08607388765
83	0.08418608255
84	0.08248292176
85	0.08088343797
86	0.07930698325
87	0.0774703185
88	0.07584105655
89	0.07454814276
90	0.07363329209
91	0.0724144413
92	0.07100362437
93	0.06980251345
94	0.06902274795
95	0.0675346467
96	0.06631248671
97	0.06563264805
98	0.06431539606
99	0.06329289707
